deck_url,pokemon,trainers,popularity,winrate
https://play.limitlesstcg.com/decks/giratina-ex-a2b-darkrai-ex-a2?game=POCKET&format=standard&set=A2b,"2 Giratina ex (A2b-35), 2 Darkrai ex (A2-110)","2 Professor's Research, 2 Leaf, 2 Pokémon Center Lady, 1 Red, 1 Sabrina, 1 Cyrus, 2 Poké Ball, 2 Potion, 2 Giant Cape, 1 Rocky Helmet",0.1469559975889089,0.5382640782929569
https://play.limitlesstcg.com/decks/gyarados-ex-a1a-manaphy-a2?game=POCKET&format=standard&set=A2b,"2 Magikarp (A1a-17), 2 Gyarados ex (A1a-18), 2 Manaphy (A2-50), 1 Origin Forme Palkia (A2a-23)","2 Professor's Research, 2 Misty, 2 Irida, 1 Sabrina, 1 Red, 2 Poké Ball, 1 Pokémon Communication, 2 Rocky Helmet",0.0986136226642555,0.5354541039339485
https://play.limitlesstcg.com/decks/gallade-ex-a2-hitmonlee-a1?game=POCKET&format=standard&set=A2b,"2 Ralts (A2-68), 2 Kirlia (A2-69), 2 Gallade ex (A2-95), 2 Hitmonlee (A1-154), 1 Marshadow (A1a-47)","2 Professor's Research, 2 Cyrus, 1 Iono, 1 Red, 1 Mars, 2 Poké Ball, 1 Pokémon Communication, 1 Rocky Helmet",0.0728149487643158,0.508130081300813
https://play.limitlesstcg.com/decks/giratina-ex-a2b-mewtwo-ex-a1?game=POCKET&format=standard&set=A2b,"2 Giratina ex (A2b-35), 1 Mewtwo ex (A1-129)","2 Professor's Research, 2 Red, 1 Sabrina, 1 Cyrus, 1 Pokémon Center Lady, 1 Mars, 1 Dawn, 1 Leaf, 2 Poké Ball, 2 Potion, 2 Giant Cape, 1 Rocky Helmet",0.0659433393610608,0.532972972972973
https://play.limitlesstcg.com/decks/dialga-ex-a2-arceus-ex-a2a?game=POCKET&format=standard&set=A2b,"2 Arceus ex (A2a-71), 2 Dialga ex (A2-119), 1 Shaymin (A2-22), 1 Mew ex (A1a-32)","2 Leaf, 2 Professor's Research, 1 Cyrus, 1 Red, 1 Pokémon Center Lady, 2 Potion, 2 Poké Ball, 2 Rocky Helmet, 1 Giant Cape",0.0601567209162145,0.465231045311799
https://play.limitlesstcg.com/decks/charizard-ex-moltres-ex-a1?game=POCKET&format=standard&set=A2b,"2 Charmander (A1-33), 1 Charmeleon (A1-34), 1 Charmeleon (A2b-9), 2 Charizard ex (A1-36), 2 Moltres ex (A1-47), 1 Shaymin (A2a-69)","2 Professor's Research, 1 Sabrina, 2 Poké Ball, 2 Potion, 2 Pokémon Communication, 1 X Speed, 1 Giant Cape",0.0390596745027124,0.4749661705006766
https://play.limitlesstcg.com/decks/rampardos-lucario-a2?game=POCKET&format=standard&set=A2b,"2 Cranidos (A2-88), 2 Rampardos (A2-89), 2 Riolu (A2-91), 2 Lucario (A2-92), 2 Sudowoodo (A2a-36)","2 Professor's Research, 1 Sabrina, 1 Cyrus, 1 Iono, 2 Skull Fossil, 2 Poké Ball, 1 Pokémon Communication",0.0353224834237492,0.4960116026105874
https://play.limitlesstcg.com/decks/meowscarada-beedrill-ex-a2b?game=POCKET&format=standard&set=A2b,"2 Sprigatito (A2b-5), 2 Floragato (A2b-6), 2 Meowscarada (A2b-7), 1 Weedle (A1-8), 1 Kakuna (A2b-2), 1 Beedrill ex (A2b-3)","2 Professor's Research, 2 Erika, 2 Red, 1 Team Rocket Grunt, 2 Poké Ball, 1 Pokémon Communication, 1 Giant Cape",0.0329113924050632,0.4914463452566096
https://play.limitlesstcg.com/decks/weavile-ex-darkrai-ex-a2?game=POCKET&format=standard&set=A2b,"2 Sneasel (A2-98), 2 Weavile ex (A2-99), 2 Darkrai ex (A2-110)","2 Professor's Research, 2 Cyrus, 1 Sabrina, 1 Leaf, 1 Red, 1 Dawn, 1 Giovanni, 2 Poké Ball, 1 Potion, 2 Giant Cape",0.0301386377335744,0.5136436597110754
https://play.limitlesstcg.com/decks/exeggutor-ex-a1-meowscarada-a2b?game=POCKET&format=standard&set=A2b,"2 Sprigatito (A2b-5), 2 Floragato (A2b-6), 2 Meowscarada (A2b-7), 2 Exeggcute (A1-21), 2 Exeggutor ex (A1-23)","2 Professor's Research, 2 Erika, 1 Red, 1 Sabrina, 1 Cyrus, 2 Poké Ball, 1 Giant Cape",0.0174804098854731,0.4978354978354978
